Time(s),Set Current,Actual Current,Velocity of Vehicle (mph),Speed,Packets Recieved,Packet Errors
2.554553,0.001000,0.001000,0.000000,0.000000,148.000000,0.000000.
2.580505,0.001000,0.001000,0.000000,0.000000,149.000000,0.000000.
2.607440,0.001000,0.001000,0.000000,0.000000,150.000000,0.000000.
2.619077,0.001000,0.001000,0.000000,0.000000,151.000000,0.000000.
2.642509,0.001000,0.001000,0.000000,0.000000,152.000000,0.000000.
2.668191,0.001000,0.001000,0.000000,0.000000,153.000000,0.000000.
2.697251,0.001000,0.001000,0.000000,0.000000,154.000000,0.000000.
2.711999,0.001000,0.001000,0.000000,0.000000,155.000000,0.000000.
2.751562,0.001000,0.001000,0.000000,0.000000,156.000000,0.000000.
2.765042,0.001000,0.001000,0.000000,0.000000,157.000000,0.000000.
2.805530,0.001000,0.001000,0.000000,0.000000,158.000000,0.000000.
2.828621,0.001000,0.001000,0.000000,0.000000,159.000000,0.000000.
2.837265,0.001000,0.001000,0.000000,0.000000,160.000000,0.000000.
2.867520,0.001000,0.001000,0.000000,0.000000,161.000000,0.000000.
2.894866,0.001000,0.001000,0.000000,0.000000,162.000000,0.000000.
2.917144,0.001000,0.001000,0.000000,0.000000,163.000000,0.000000.
2.945190,0.001000,0.001000,0.000000,0.000000,164.000000,0.000000.
2.975817,0.001000,0.001000,0.000000,0.000000,165.000000,0.000000.
2.986740,0.001000,0.001000,0.000000,0.000000,166.000000,0.000000.
3.004901,0.001000,0.001000,0.000000,0.000000,167.000000,0.000000.
3.031914,0.001000,0.001000,0.000000,0.000000,168.000000,0.000000.
3.059106,0.001000,0.001000,0.000000,0.000000,169.000000,0.000000.
3.079438,0.001000,0.001000,0.000000,0.000000,170.000000,0.000000.
3.101741,0.001000,0.001000,0.000000,0.000000,171.000000,0.000000.
3.121632,0.001000,0.001000,0.000000,0.000000,172.000000,0.000000.
3.145571,0.001000,0.001000,0.000000,0.000000,173.000000,0.000000.
3.174246,0.001000,0.001000,0.000000,0.000000,174.000000,0.000000.
3.201471,0.001000,0.001000,0.000000,0.000000,175.000000,0.000000.
3.228121,0.001000,0.001000,0.000000,0.000000,176.000000,0.000000.
3.253146,0.001000,0.001000,0.000000,0.000000,177.000000,0.000000.
