Time(s),Set Current,Actual Current,Velocity of Vehicle (mph),Speed,Packets Recieved,Packet Errors
4.178676,0.001000,0.001000,0.000000,0.000000,215.000000,0.000000.
4.191242,0.001000,0.001000,0.000000,0.000000,216.000000,0.000000.
4.224415,0.001000,0.001000,0.000000,0.000000,217.000000,0.000000.
4.237046,0.001000,0.001000,0.000000,0.000000,218.000000,0.000000.
4.262795,0.001000,0.001000,0.000000,0.000000,219.000000,0.000000.
4.288340,0.001000,0.001000,0.000000,0.000000,220.000000,0.000000.
4.316227,0.001000,0.001000,0.000000,0.000000,221.000000,0.000000.
4.341170,0.001000,0.001000,0.000000,0.000000,222.000000,0.000000.
4.367556,0.001000,0.001000,0.000000,0.000000,223.000000,0.000000.
4.395165,0.001000,0.001000,0.000000,0.000000,224.000000,0.000000.
4.423378,0.001000,0.001000,0.000000,0.000000,225.000000,0.000000.
4.433234,0.001000,0.001000,0.000000,0.000000,226.000000,0.000000.
4.454705,0.001000,0.001000,0.000000,0.000000,227.000000,0.000000.
4.482780,0.001000,0.001000,0.000000,0.000000,228.000000,0.000000.
4.507400,0.001000,0.001000,0.000000,0.000000,229.000000,0.000000.
4.532390,0.001000,0.001000,0.000000,0.000000,230.000000,0.000000.
4.556083,0.001000,0.001000,0.000000,0.000000,231.000000,0.000000.
4.583643,0.001000,0.001000,0.000000,0.000000,232.000000,0.000000.
4.606961,0.001000,0.001000,0.000000,0.000000,233.000000,0.000000.
4.626517,0.001000,0.001000,0.000000,0.000000,234.000000,0.000000.
4.654526,0.001000,0.001000,0.000000,0.000000,235.000000,0.000000.
4.677763,0.001000,0.001000,0.000000,0.000000,236.000000,0.000000.
4.700489,0.001000,0.001000,0.000000,0.000000,237.000000,0.000000.
4.723022,0.001000,0.001000,0.000000,0.000000,238.000000,0.000000.
4.743996,0.001000,0.001000,0.000000,0.000000,239.000000,0.000000.
4.779016,0.001000,0.001000,0.000000,0.000000,240.000000,0.000000.
4.803755,0.001000,0.001000,0.000000,0.000000,241.000000,0.000000.
4.814891,0.001000,0.001000,0.000000,0.000000,242.000000,0.000000.
4.838347,0.001000,0.001000,0.000000,0.000000,243.000000,0.000000.
4.863156,0.001000,0.001000,0.000000,0.000000,244.000000,0.000000.
4.890744,0.001000,0.001000,0.000000,0.000000,245.000000,0.000000.
4.911769,0.001000,0.001000,0.000000,0.000000,246.000000,0.000000.
4.938022,0.001000,0.001000,0.000000,0.000000,247.000000,0.000000.
4.958980,0.001000,0.001000,0.000000,0.000000,248.000000,0.000000.
4.986027,0.001000,0.001000,0.000000,0.000000,249.000000,0.000000.
5.010794,0.001000,0.001000,0.000000,0.000000,250.000000,0.000000.
5.073363,0.001000,0.001000,0.000000,0.000000,251.000000,0.000000.
5.083015,0.001000,0.001000,0.000000,0.000000,252.000000,0.000000.
5.098778,0.001000,0.001000,0.000000,0.000000,253.000000,0.000000.
5.111894,0.001000,0.001000,0.000000,0.000000,254.000000,0.000000.
5.132795,0.001000,0.001000,0.000000,0.000000,255.000000,0.000000.
5.162767,0.001000,0.001000,0.000000,0.000000,256.000000,0.000000.
5.174930,0.001000,0.001000,0.000000,0.000000,257.000000,0.000000.
5.197240,0.001000,0.001000,0.000000,0.000000,258.000000,0.000000.
5.223078,0.001000,0.001000,0.000000,0.000000,259.000000,0.000000.
5.246765,0.001000,0.001000,0.000000,0.000000,260.000000,0.000000.
5.271227,0.001000,0.001000,0.000000,0.000000,261.000000,0.000000.
5.297967,0.001000,0.001000,0.000000,0.000000,262.000000,0.000000.
5.319459,0.001000,0.001000,0.000000,0.000000,263.000000,0.000000.
5.345093,0.001000,0.001000,0.000000,0.000000,264.000000,0.000000.
5.366248,0.001000,0.001000,0.000000,0.000000,265.000000,0.000000.
5.390961,0.001000,0.001000,0.000000,0.000000,266.000000,0.000000.
5.416905,0.001000,0.001000,0.000000,0.000000,267.000000,0.000000.
5.441008,0.001000,0.001000,0.000000,0.000000,268.000000,0.000000.
5.464727,0.001000,0.001000,0.000000,0.000000,269.000000,0.000000.
5.488462,0.001000,0.001000,0.000000,0.000000,270.000000,0.000000.
5.511371,0.001000,0.001000,0.000000,0.000000,271.000000,0.000000.
5.537801,0.001000,0.001000,0.000000,0.000000,272.000000,0.000000.
5.560869,0.001000,0.001000,0.000000,0.000000,273.000000,0.000000.
5.585991,0.001000,0.001000,0.000000,0.000000,274.000000,0.000000.
5.608470,0.001000,0.001000,0.000000,0.000000,275.000000,0.000000.
5.630625,0.001000,0.001000,0.000000,0.000000,276.000000,0.000000.
5.656501,0.001000,0.001000,0.000000,0.000000,277.000000,0.000000.
5.679245,0.001000,0.001000,0.000000,0.000000,278.000000,0.000000.
5.705720,0.001000,0.001000,0.000000,0.000000,279.000000,0.000000.
5.728934,0.001000,0.001000,0.000000,0.000000,280.000000,0.000000.
5.754894,0.001000,0.001000,0.000000,0.000000,281.000000,0.000000.
5.774914,0.001000,0.001000,0.000000,0.000000,282.000000,0.000000.
5.801853,0.001000,0.001000,0.000000,0.000000,283.000000,0.000000.
5.822713,0.001000,0.001000,0.000000,0.000000,284.000000,0.000000.
5.850063,0.001000,0.001000,0.000000,0.000000,285.000000,0.000000.
5.872517,0.001000,0.001000,0.000000,0.000000,286.000000,0.000000.
5.896643,0.001000,0.001000,0.000000,0.000000,287.000000,0.000000.
5.921956,0.001000,0.001000,0.000000,0.000000,288.000000,0.000000.
5.944518,0.001000,0.001000,0.000000,0.000000,289.000000,0.000000.
5.970230,0.001000,0.001000,0.000000,0.000000,290.000000,0.000000.
