Time(s),Torque1(A),Torque2(A),Steering_Angle(Degrees)
70.609248,0.00000000,0.00000000,1715.000000
70.696421,0.00000000,0.00000000,1714.000000
70.798585,0.00000000,0.00000000,1706.000000
70.900456,0.00000000,0.00000000,1548.000000
71.004971,0.00000000,0.00000000,1198.000000
71.110606,0.00000000,0.00000000,1139.000000
71.197034,0.00000000,0.00000000,1074.000000
71.300403,0.00000000,0.00000000,1077.000000
71.404213,0.00000000,0.00000000,1080.000000
71.510465,0.00000000,0.00000000,1140.000000
71.595998,0.00000000,0.00000000,1499.000000
71.700352,0.00000000,0.00000000,1795.000000
71.802608,0.00000000,0.00000000,2195.000000
71.905290,0.00000000,0.00000000,2421.000000
72.010543,0.00000000,0.00000000,2453.000000
72.096198,0.00000000,0.00000000,2449.000000
72.198333,0.00000000,0.00000000,2449.000000
72.304365,0.00000000,0.00000000,2449.000000
72.408804,0.00000000,0.00000000,2449.000000
72.493487,0.50000000,0.23547411,2449.000000
72.596343,1.00000000,0.47094822,2449.000000
72.698549,1.50000000,0.70642233,2449.000000
72.799309,2.00000000,0.92410469,2428.000000
72.902218,2.50000000,1.11655235,2392.000000
73.007418,3.00000000,1.30861187,2368.000000
73.103683,3.50000000,1.48525429,2341.000000
73.206371,4.00000000,1.69743347,2341.000000
73.294152,4.50000000,2.02918768,2402.000000
73.398422,5.00000000,2.57965565,2558.000000
73.500776,5.50000000,3.11080217,2684.000000
73.604142,6.00000000,3.81104851,2871.000000
73.689376,6.50000000,4.35627127,2970.000000
73.793486,7.00000000,4.86219406,3041.000000
73.897877,7.50000000,5.46756506,3144.000000
73.999928,8.00000000,6.01147461,3213.000000
74.105101,8.50000000,6.47420406,3245.000000
74.191631,9.00000000,6.91785908,3267.000000
74.293830,9.50000000,7.42457485,3308.000000
74.396797,10.00000000,7.81534195,3308.000000
74.499375,10.50000000,8.20610905,3308.000000
74.603603,11.00000000,8.32573032,3230.000000
74.708539,0.00000000,0.00000000,3073.000000
74.794250,0.00000000,0.00000000,2876.000000
74.898315,0.50000000,0.28009892,2670.000000
74.999722,1.00000000,0.51835155,2564.000000
75.100950,1.50000000,0.70958233,2454.000000
75.203019,2.00000000,0.80681610,2294.000000
75.304186,2.50000000,0.91334820,2211.000000
75.409672,3.00000000,1.09601784,2211.000000
75.493954,3.50000000,1.27868748,2211.000000
75.597333,4.00000000,1.56106186,2265.000000
75.699149,4.50000000,2.11166668,2445.000000
75.805464,5.00000000,2.85295963,2697.000000
75.888925,5.50000000,3.51913118,2884.000000
75.993286,6.00000000,4.16352081,3039.000000
76.095469,6.50000000,4.77688408,3162.000000
76.197519,7.00000000,5.42029095,3285.000000
76.301436,7.50000000,6.04664326,3388.000000
76.404420,8.00000000,6.60919189,3454.000000
76.507457,8.50000000,7.03496885,3459.000000
76.593005,9.00000000,7.13998890,3346.000000
76.696111,9.50000000,6.76825714,3094.000000
76.798313,10.00000000,5.89567184,2747.000000
76.899253,10.50000000,5.44691706,2565.000000
77.003577,11.00000000,5.49163914,2517.000000
77.093930,11.50000000,5.19559431,2404.000000
77.196753,0.00000000,0.00000000,2279.000000
77.302137,0.50000000,0.19695377,2273.000000
77.405289,1.00000000,0.39390755,2273.000000
77.508136,1.50000000,0.67510557,2400.000000
77.588951,2.00000000,1.11264420,2660.000000
77.690138,2.50000000,1.63782597,2927.000000
77.797377,3.00000000,2.01475811,2974.000000
77.903117,3.50000000,2.38081551,2999.000000
78.009267,4.00000000,2.68495560,2973.000000
78.093230,4.50000000,2.96710253,2939.000000
78.209380,5.00000000,3.29678059,2939.000000
78.294743,5.50000000,3.62645864,2939.000000
78.397995,6.00000000,3.95613670,2939.000000
78.499768,6.50000000,4.28581476,2939.000000
78.601870,7.00000000,4.60810947,2936.000000
78.704217,7.50000000,4.90023136,2922.000000
78.805650,8.00000000,5.22691345,2922.000000
78.906311,8.50000000,5.55359554,2922.000000
78.991888,9.00000000,5.88027763,2922.000000
79.094609,9.50000000,6.20695972,2922.000000
79.197032,10.00000000,6.50886536,2915.000000
79.299015,10.50000000,6.86403894,2923.000000
79.402833,11.00000000,7.27610111,2945.000000
79.505066,11.50000000,6.98581219,2795.000000
79.609440,12.00000000,5.75722504,2470.000000
79.695702,12.50000000,5.26580811,2334.000000
79.797299,13.00000000,5.47068787,2333.000000
79.898794,13.50000000,5.68109894,2333.000000
80.002828,14.00000000,5.89151001,2333.000000
80.106000,14.50000000,6.10192108,2333.000000
80.208992,0.00000000,0.00000000,2333.000000
80.293724,0.50000000,0.21041107,2333.000000
80.397190,1.00000000,0.42082214,2333.000000
80.498707,1.50000000,0.63123322,2333.000000
80.601366,2.00000000,0.84164429,2333.000000
80.704013,2.50000000,1.05205536,2333.000000
80.807200,3.00000000,1.25847816,2330.000000
80.906992,3.50000000,1.46822453,2330.000000
81.008088,4.00000000,1.67797089,2330.000000
81.095545,4.50000000,1.88771725,2330.000000
81.198445,5.00000000,2.09746361,2330.000000
81.302879,5.50000000,2.30720997,2330.000000
81.404436,6.00000000,2.50897408,2327.000000
81.508895,6.50000000,2.71805525,2327.000000
81.594952,7.00000000,2.92713642,2327.000000
81.696015,0.00000000,0.00000000,2336.000000
81.797432,0.00000000,0.00000000,2336.000000
81.898964,0.00000000,0.00000000,2336.000000
82.000681,0.00000000,0.00000000,2336.000000
82.104035,0.00000000,0.00000000,2336.000000
82.206186,0.00000000,0.00000000,2336.000000
82.307371,0.00000000,0.00000000,2336.000000
82.406196,0.00000000,0.00000000,2336.000000
82.490670,0.00000000,0.00000000,2336.000000
82.591568,0.00000000,0.00000000,2336.000000
82.693969,0.00000000,0.00000000,2336.000000
82.795857,0.00000000,0.00000000,2337.000000
82.896710,0.00000000,0.00000000,2612.000000
83.000112,0.00000000,0.00000000,2793.000000
83.103103,0.00000000,0.00000000,2903.000000
83.206451,0.00000000,0.00000000,2949.000000
83.309805,0.00000000,0.00000000,2949.000000
83.396547,0.00000000,0.00000000,2949.000000
83.498569,0.00000000,0.00000000,2949.000000
83.600486,0.00000000,0.00000000,2949.000000
83.702231,0.00000000,0.00000000,2949.000000
83.804263,0.00000000,0.00000000,2949.000000
83.907835,0.00000000,0.00000000,2949.000000
83.992412,0.00000000,0.00000000,2949.000000
84.093906,0.00000000,0.00000000,2949.000000
84.197550,0.00000000,0.00000000,2949.000000
84.299437,0.50000000,0.33143282,2949.000000
84.401589,1.00000000,0.66286564,2949.000000
84.503316,1.50000000,0.99429846,2949.000000
84.605827,2.00000000,1.32573128,2949.000000
84.691974,2.50000000,1.63252592,2921.000000
84.798506,3.00000000,1.95478535,2917.000000
84.900694,3.50000000,2.28182125,2918.000000
85.001713,4.00000000,2.62052155,2927.000000
85.104974,4.50000000,2.94808674,2927.000000
85.208916,5.00000000,3.25620651,2916.000000
85.295733,5.50000000,3.58182716,2916.000000
85.395603,6.00000000,3.90744781,2916.000000
85.500014,6.50000000,4.23306847,2916.000000
85.602402,7.00000000,4.59578609,2931.000000
85.705702,7.50000000,4.92405653,2931.000000
85.791708,8.00000000,4.64705658,2724.000000
85.895641,8.50000000,3.86210871,2410.000000
86.000010,9.00000000,3.35091591,2226.000000
86.103804,9.50000000,3.48403215,2214.000000
86.206824,10.00000000,5.64830780,2682.000000
86.292657,10.50000000,6.88997412,2930.000000
86.394940,0.00000000,0.00000000,3023.000000
86.496908,0.00000000,0.00000000,3023.000000
86.596800,0.00000000,0.00000000,2575.000000
86.698703,0.00000000,0.00000000,2340.000000
86.799115,0.00000000,0.00000000,2220.000000
86.899368,0.50000000,0.18476796,2220.000000
87.000900,1.00000000,0.38064384,2244.000000
87.101953,1.50000000,0.78776693,2581.000000
87.202493,2.00000000,1.23551750,2823.000000
87.303960,2.50000000,1.61923170,2906.000000
87.405795,3.00000000,1.96644974,2928.000000
87.489982,3.50000000,2.29419136,2928.000000
87.591555,4.00000000,2.24543381,2673.000000
87.694924,4.50000000,1.99422026,2384.000000
87.797692,5.00000000,1.80328608,2201.000000
87.898098,5.50000000,1.90302205,2170.000000
87.998883,6.00000000,2.60149956,2362.000000
88.101691,6.50000000,3.75598383,2716.000000
88.203409,7.00000000,4.46635056,2879.000000
88.305780,7.50000000,4.83900547,2899.000000
88.408762,8.00000000,5.16160583,2899.000000
88.493722,8.50000000,5.48723793,2900.000000
88.594478,9.00000000,5.76824284,2887.000000
88.696378,9.50000000,6.04783154,2875.000000
88.796587,10.00000000,6.36613846,2875.000000
88.900724,10.50000000,6.68444538,2875.000000
89.000016,11.00000000,7.00275230,2875.000000
89.101497,11.50000000,6.24487543,2626.000000
89.203251,12.00000000,4.93778229,2312.000000
89.305996,12.50000000,4.94087934,2276.000000
89.406865,13.00000000,7.39775944,2693.000000
89.505166,13.50000000,8.93448544,2946.000000
89.608222,14.00000000,8.57672501,2809.000000
89.692280,14.50000000,6.33761024,2370.000000
89.792912,15.00000000,6.33224487,2336.000000
89.895155,15.50000000,9.54118824,2817.000000
89.996574,0.00000000,0.00000000,2957.000000
90.097390,0.00000000,0.00000000,2739.000000
90.200321,0.00000000,0.00000000,2322.000000
90.302200,0.00000000,0.00000000,2312.000000
90.401188,0.00000000,0.00000000,2860.000000
90.502358,0.00000000,0.00000000,2928.000000
90.603044,0.00000000,0.00000000,2839.000000
90.705020,0.50000000,0.21766567,2366.000000
90.805198,1.00000000,0.38706827,2258.000000
90.890412,1.50000000,0.85416269,2694.000000
90.991217,2.00000000,1.31519508,2934.000000
91.091649,2.50000000,1.64751291,2938.000000
91.192765,3.00000000,1.49155712,2512.000000
91.294449,3.50000000,1.28848743,2217.000000
91.394517,4.00000000,1.40301514,2180.000000
91.496349,4.50000000,1.42447615,2109.000000
91.598111,2.01174974,5.00000000,1927.000000
91.700551,2.32545471,5.50000000,1861.000000
91.801249,2.43828011,6.00000000,1914.000000
91.900900,6.50000000,2.94780445,2408.000000
92.002562,7.00000000,4.22890854,2786.000000
92.103234,7.50000000,4.55596447,2795.000000
92.205026,8.00000000,3.21644974,2291.000000
92.307051,8.50000000,2.45865250,2054.000000
92.392596,9.00000000,3.35926294,2228.000000
92.492902,9.50000000,5.79192543,2801.000000
92.603941,10.00000000,6.42346382,2891.000000
92.705381,10.50000000,6.34725809,2787.000000
92.791474,11.00000000,4.36792660,2280.000000
92.893771,11.50000000,3.38410544,2064.000000
92.993948,12.00000000,4.04879379,2152.000000
93.094599,12.50000000,7.20877647,2713.000000
93.195430,13.00000000,8.24792385,2869.000000
93.298863,13.50000000,8.13069820,2781.000000
93.398286,14.00000000,5.32256508,2243.000000
93.499027,14.50000000,4.61126709,2112.000000
93.600050,0.00000000,0.00000000,2461.000000
93.704791,0.00000000,0.00000000,2898.000000
93.805307,0.00000000,0.00000000,2959.000000
93.904389,0.00000000,0.00000000,2884.000000
94.006904,0.00000000,0.00000000,2472.000000
94.090896,0.00000000,0.00000000,2366.000000
94.192581,0.00000000,0.00000000,2415.000000
94.294425,0.00000000,0.00000000,2488.000000
94.394944,0.00000000,0.00000000,2502.000000
94.496889,0.00000000,0.00000000,2502.000000
94.597751,0.00000000,0.00000000,2502.000000
94.698946,0.00000000,0.00000000,2502.000000
