t,Torque1(t),Torque2(t)
25.863404,0.00000000,0.00000000
25.978425,0.00000000,0.00000000
26.071926,0.00000000,0.00000000
26.163362,0.00000000,0.00000000
26.275977,0.00000000,0.00000000
26.368210,0.00000000,0.00000000
26.482203,0.00000000,0.00000000
26.574720,0.00000000,0.00000000
26.664076,0.00000000,0.00000000
26.779733,0.00000000,0.00000000
26.872496,0.00000000,0.00000000
26.967824,0.00000000,0.00000000
27.062949,0.00000000,0.00000000
27.173553,0.00000000,0.00000000
27.265318,0.00000000,0.00000000
27.379984,0.00000000,0.00000000
27.472477,0.00000000,0.00000000
27.566285,0.00000000,0.00000000
27.680714,0.00000000,0.00000000
27.772832,0.00000000,0.00000000
27.866894,0.00000000,0.00000000
27.977678,0.00000000,0.00000000
28.072389,0.00000000,0.00000000
28.181580,0.00000000,0.00000000
28.274579,0.00000000,0.00000000
28.373970,0.00000000,0.00000000
28.467754,0.00000000,0.00000000
28.565715,0.00000000,0.00000000
28.678377,0.00000000,0.00000000
28.771842,0.00000000,0.00000000
28.865478,0.00000000,0.00000000
28.976746,0.00000000,0.00000000
29.073216,0.00000000,0.00000000
29.167066,0.00000000,0.00000000
29.281785,0.00000000,0.00000000
29.375858,0.00000000,0.00000000
29.467604,0.00000000,0.00000000
29.581989,0.00000000,0.00000000
29.676265,0.00000000,0.00000000
29.772100,0.00000000,0.00000000
29.863217,0.00000000,0.00000000
29.979413,0.00000000,0.00000000
30.072050,0.00000000,0.00000000
30.166804,0.00000000,0.00000000
30.265119,0.00000000,0.00000000
30.383211,0.00000000,0.00000000
30.468867,0.00000000,0.00000000
30.580273,0.00000000,0.00000000
30.669302,0.00000000,0.00000000
30.764385,0.00000000,0.00000000
30.877488,0.00000000,0.00000000
30.970283,0.00000000,0.00000000
31.066622,0.00000000,0.00000000
31.181886,0.00000000,0.00000000
31.269092,0.00000000,0.00000000
31.363875,0.00000000,0.00000000
31.477825,0.00000000,0.00000000
31.570461,0.00000000,0.00000000
31.661723,0.00000000,0.00000000
31.775045,0.00000000,0.00000000
31.867115,0.00000000,0.00000000
31.980913,0.00000000,0.00000000
32.066263,0.00000000,0.00000000
