t,Torque1(t),Torque2(t),Steering_Angle(t)
28.474058,25.00000000,7.50646591,2076.000000
28.576514,25.00000000,8.20597458,2133.000000
28.680535,25.00000000,8.73328400,2177.000000
28.784669,25.00000000,9.44694328,2238.000000
28.868903,25.00000000,9.85906124,2274.000000
28.972533,25.00000000,9.85906124,2274.000000
29.076907,25.00000000,9.84768867,2273.000000
29.180014,25.00000000,8.51886272,2159.000000
29.285152,9.57049847,25.00000000,1990.000000
29.368171,11.62424946,25.00000000,1725.000000
29.474078,12.83325005,25.00000000,1569.000000
29.580165,13.48424816,25.00000000,1485.000000
29.687989,14.06549931,25.00000000,1410.000000
29.789000,14.93349934,25.00000000,1298.000000
29.876463,15.94099998,25.00000000,1168.000000
29.982860,17.39024925,25.00000000,981.000000
30.086824,18.16524887,25.00000000,881.000000
30.172714,19.01000023,25.00000000,772.000000
30.280116,19.49824905,25.00000000,709.000000
30.384876,19.73074913,25.00000000,679.000000
30.487079,19.71525002,25.00000000,681.000000
30.573473,19.73074913,25.00000000,679.000000
30.678258,19.73074913,25.00000000,679.000000
30.783069,19.73074913,25.00000000,679.000000
30.870433,19.73074913,25.00000000,679.000000
30.975958,19.73074913,25.00000000,679.000000
31.080654,19.73074913,25.00000000,679.000000
31.186273,0.00000000,0.00000000,679.000000
31.268860,0.00000000,0.00000000,677.000000
31.373315,0.00000000,0.00000000,681.000000
31.480088,0.00000000,0.00000000,681.000000
31.584492,0.00000000,0.00000000,681.000000
31.668392,0.39430499,0.50000000,681.000000
31.772349,0.78860998,1.00000000,681.000000
31.874725,1.18291497,1.50000000,681.000000
31.979494,1.57721996,2.00000000,681.000000
32.084733,1.93122494,2.50000000,733.000000
32.168667,2.22539997,3.00000000,832.000000
32.272625,2.47586489,3.50000000,943.000000
32.375571,2.72911978,4.00000000,1024.000000
32.479726,2.96702981,4.50000000,1098.000000
32.582665,3.19284964,5.00000000,1165.000000
32.687784,3.44563985,5.50000000,1204.000000
32.788326,3.75702000,6.00000000,1205.000000
32.870013,4.04793978,6.50000000,1216.000000
32.974411,4.44828987,7.00000000,1175.000000
33.078877,5.01014996,7.50000000,1070.000000
33.183265,5.70127964,8.00000000,926.000000
33.268208,6.51873446,8.50000000,751.000000
33.372986,7.19513988,9.00000000,646.000000
33.476440,8.20448494,9.50000000,439.000000
33.581147,9.09509945,10.00000000,291.000000
33.686101,9.84280491,10.50000000,201.000000
33.772384,10.49223995,11.00000000,148.000000
33.878670,11.20801449,11.50000000,81.000000
33.981955,12.00000000,11.97243118,4078.000000
34.085025,12.50000000,12.24449921,4007.000000
34.187538,13.00000000,12.48736477,3934.000000
34.268701,13.50000000,12.94281292,3927.000000
34.372315,14.00000000,13.42217636,3927.000000
34.477100,14.33411980,14.50000000,36.000000
34.581574,13.81469917,15.00000000,254.000000
34.669099,13.20367432,15.50000000,477.000000
34.773569,13.03439903,16.00000000,597.000000
34.879412,12.78188992,16.50000000,726.000000
34.985487,12.02035999,17.00000000,944.000000
35.069553,11.52760029,17.50000000,1100.000000
35.174706,11.38265991,18.00000000,1185.000000
35.279746,11.30312920,18.50000000,1254.000000
35.386168,11.34945965,19.00000000,1298.000000
35.472517,11.64812946,19.50000000,1298.000000
35.575709,11.94059944,20.00000000,1299.000000
35.681245,12.20098400,20.50000000,1305.000000
35.786230,12.27723026,21.00000000,1339.000000
35.872223,12.87613392,21.50000000,1293.000000
35.976023,14.50547886,22.00000000,1098.000000
36.082493,16.29990005,22.50000000,888.000000
36.185789,17.80291939,23.00000000,728.000000
36.275598,19.28997421,23.50000000,577.000000
36.378577,20.70479965,24.00000000,442.000000
36.483903,22.41210938,24.50000000,274.000000
36.567785,23.83824921,25.00000000,149.000000
36.670967,24.62100029,25.00000000,48.000000
36.775678,25.00000000,24.90453720,4072.000000
36.882334,25.00000000,24.25592041,3971.000000
36.989379,25.00000000,23.56386185,3866.000000
37.081295,25.00000000,22.96240234,3777.000000
37.183574,25.00000000,22.74956703,3746.000000
37.269725,25.00000000,22.85962105,3762.000000
37.373032,25.00000000,24.15165901,3955.000000
37.476208,24.32649803,25.00000000,86.000000
37.583108,23.47399902,25.00000000,196.000000
37.688124,22.90824890,25.00000000,269.000000
37.776360,22.79974937,25.00000000,283.000000
37.882638,22.36574936,25.00000000,339.000000
37.988153,21.38149834,25.00000000,466.000000
38.075582,20.36624908,25.00000000,597.000000
38.180196,18.86274910,25.00000000,791.000000
38.288318,18.20399857,25.00000000,876.000000
38.374856,17.65374756,25.00000000,947.000000
38.479150,16.88649940,25.00000000,1046.000000
38.586210,16.18899918,25.00000000,1136.000000
38.668000,15.14274883,25.00000000,1271.000000
38.771175,14.83275032,25.00000000,1311.000000
38.874248,14.83275032,25.00000000,1311.000000
38.980017,15.09625053,25.00000000,1277.000000
39.085732,15.83249855,25.00000000,1182.000000
39.186890,17.48324966,25.00000000,969.000000
39.288987,18.07224846,25.00000000,893.000000
