INFO:root:2016-12-22 11:50:12.247829: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.249824: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.250812: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.253265: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.254059: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.256411: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.257018: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.257328: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.259368: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.260009: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.260373: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.262850: Integer Speed =3587.
INFO:root:2016-12-22 11:50:12.263408: Decimal Speed =55040.
INFO:root:2016-12-22 11:50:12.263691: Actual Speed =3642.04.
INFO:root:2016-12-22 11:50:12.264498: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.264900: Decimal Speed =3840.
INFO:root:2016-12-22 11:50:12.265160: Actual Speed =3.84.
INFO:root:2016-12-22 11:50:12.265858: Integer Speed =5632.
INFO:root:2016-12-22 11:50:12.266264: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.266513: Actual Speed =5632.0.
INFO:root:2016-12-22 11:50:12.267481: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.267862: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.268108: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.268707: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.269068: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.269397: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.270248: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.270679: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.271056: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.271880: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.272373: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.272800: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.273545: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.273837: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.274090: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.274799: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.275226: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.275551: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.276246: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.276642: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.276904: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.277536: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.277859: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.278249: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.279793: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.280838: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.282108: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.283194: Integer Speed =15.
INFO:root:2016-12-22 11:50:12.283599: Decimal Speed =22.
INFO:root:2016-12-22 11:50:12.283948: Actual Speed =15.022.
INFO:root:2016-12-22 11:50:12.284656: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.285066: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.285394: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.286072: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.286457: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.286792: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.287498: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.287902: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.288271: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.289030: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.289443: Decimal Speed =0.
