Time(s),StartByte(2),PayloadSize(#ofBytes),Command,Payload2,Payload3,Payload4,Payload5,CRCByte1,CRCByte2,EndByte(3)
21.359423,2,5,6,0,0,78,32,199,36,3,
21.474211,2,5,6,0,0,78,32,199,36,3,
21.570488,2,5,6,0,0,78,32,199,36,3,
21.663125,2,5,6,0,0,78,32,199,36,3,
21.776683,2,5,6,0,0,78,32,199,36,3,
21.870008,2,5,6,0,0,78,32,199,36,3,
21.965182,2,5,6,0,0,78,32,199,36,3,
22.058850,2,5,6,0,0,78,32,199,36,3,
22.173925,2,5,6,0,0,78,32,199,36,3,
22.266992,2,5,6,0,0,78,32,199,36,3,
22.361349,2,5,6,0,0,0,0,205,133,3,
22.475208,2,5,6,0,0,0,0,205,133,3,
22.569883,2,5,6,0,0,0,0,205,133,3,
22.662306,2,5,6,0,0,0,0,205,133,3,
22.757951,2,5,6,0,0,0,0,205,133,3,
22.875312,2,5,6,0,0,0,0,205,133,3,
22.966728,2,5,6,0,0,0,0,205,133,3,
23.064229,2,5,6,0,0,0,0,205,133,3,
23.158823,2,5,6,0,0,0,0,205,133,3,
23.273838,2,5,6,0,0,0,0,205,133,3,
23.368242,2,5,6,0,0,0,0,205,133,3,
23.462586,2,5,6,0,0,0,0,205,133,3,
23.574829,2,5,6,0,0,0,0,205,133,3,
23.671580,2,5,6,0,0,0,0,205,133,3,
23.761994,2,5,6,0,0,0,0,205,133,3,
23.856743,2,5,6,0,0,0,0,205,133,3,
23.972018,2,5,6,0,0,0,0,205,133,3,
24.064024,2,5,6,0,0,0,0,205,133,3,
24.157311,2,5,6,0,0,0,0,205,133,3,
24.271264,2,5,6,0,0,2,89,96,59,3,
24.363896,2,5,6,0,0,4,177,182,187,3,
24.459567,2,5,6,0,0,7,9,197,59,3,
24.572700,2,5,6,0,0,9,97,11,154,3,
24.667111,2,5,6,0,0,11,185,39,141,3,
24.759855,2,5,6,0,0,14,16,252,187,3,
24.875083,2,5,6,0,0,16,104,35,88,3,
24.968046,2,5,6,0,0,18,192,113,216,3,
25.061695,2,5,6,0,0,21,24,162,58,3,
